date,title,where,link
2020.01.09.,"中, 우한 폐렴 ""사스 아닌 신종 코로나바이러스"" 잠정 판정",SBS언론사,https://news.sbs.co.kr/news/endPage.do?news_id=N1005597220&plink=ORI&cooper=NAVER
2020.01.09.,"중국 원인불명 폐렴, '신종 코로나바이러스' 잠정 판정",SBS,https://news.sbs.co.kr/news/endPage.do?news_id=N1005597230&plink=ORI&cooper=NAVER
2020.01.09.,원인불명 폐렴 신종 코로나바이러스로,MBC,https://imnews.imbc.com/news/2020/world/article/5649079_32640.html
2020.01.09.,"中, 우한 폐렴 '신종 코로나바이러스' 잠정 판정",청년일보,https://www.youthdaily.co.kr/news/article.html?no=26356
2020.01.09.,"中 ""우한 원인불명 폐렴은 신종 코로나바이러스""(종합)",이데일리언론사,http://www.edaily.co.kr/news/newspath.asp?newsid=02988086625636080
2020.01.09.,중국 원인불명 폐렴 원인 '신종 코로나바이러스' 때문으로 잠정 판정,오피니언뉴스,http://www.opinionnews.co.kr/news/articleView.html?idxno=27923
2020.01.09.,국내 상륙 중국發 폐렴은 ‘신종 코로나’,문화일보,http://www.munhwa.com/news/view.html?no=2020010901071303311001
2020.01.09.,"WHO ""中 원인불명 폐렴, 신종 코로나 바이러스 가능성”",데일리메디,http://www.dailymedi.com/detail.php?number=851656&thread=22r08
2020.01.09.,"中 당국 ""원인불명 폐렴 원인 신종 코로나바이러스""",머니투데이,http://news.mt.co.kr/mtview.php?no=2020010912284027195
2020.01.09.,"中 ""'우한 폐렴', 신종 코로나 바이러스로 잠정 판단""",SBS언론사,https://news.sbs.co.kr/news/endPage.do?news_id=N1005597233&plink=ORI&cooper=NAVER
2020.01.09.,中우한 폐렴은 '신종 코로나 바이러스'...각국에 공문 발송,파이낸셜뉴스언론사,http://www.fnnews.com/news/202001091232477806
2020.01.09.,"[메르스 코로나 바이러스 테마 오후 시황] 상승률 상위 종목, 이글벳 +9.76%·파루 +9.26%·제일바이오 +8.62% 등",공감신문,http://www.gokorea.kr/news/articleView.html?idxno=627413
2020.01.09.,"중국 우한 폐렴, 신종 코로나바이러스로 판정",뉴스1,http://news1.kr/articles/?3812818
2020.01.09.,중국 우한 폐렴 원인은 '신종 코로나 바이러스'... 백신 개발 수년 소요될 듯,쿠키뉴스,http://www.kukinews.com/news/article.html?no=735999
2020.01.09.,"[9일 13시 메르스 코로나 바이러스 오후의 테마종목] 이글벳,파루 등이 주도...",내외경제tv,http://nbntv.co.kr/news/view/803183
2020.01.09.,"""中 원인불명 폐렴 병원체는 신종 코로나바이러스""",YTN언론사,https://www.ytn.co.kr/_ln/0104_202001091330551537
2020.01.09.,"[메르스 코로나 바이러스 테마 13시 현재 주식 시황] 상승률 상위 종목, 이글벳 570원(+9.27%)·제일바이오 610원(+9.23%)·파루 235원(+8.70%)상승",CCTV뉴스,http://www.cctvnews.co.kr/news/articleView.html?idxno=156542
2020.01.09.,"중국 폐렴, 신종 코로나 바이러스로 판명",뉴시스,http://www.newsis.com/view/?id=NISI20200109_0000459948
2020.01.09.,"중국 우한, 원인불명 폐렴은 신종 코로나바이러스",부산일보언론사,http://www.busan.com/view/busan/view.php?code=2020010913385362969
2020.01.09.,"중국, 원인불명 폐렴 '신종 코로나바이러스' 원인 지목",파이낸셜뉴스언론사,http://www.fnnews.com/news/202001091344329574
2020.01.09.,"中 우한 원인불명 폐렴은 신종 코로나바이러스...""메르스·사스 유발""",아주경제,http://www.ajunews.com/view/20200109134631779
2020.01.09.,"""中 원인불명 폐렴 병원체...신종 코로나바이러스 잠정 판명""",파이낸스투데이,http://www.fntoday.co.kr/news/articleView.html?idxno=210365
2020.01.09.,"""中 원인 불명 폐렴은 신종 코로나바이러스""",매일경제,http://news.mk.co.kr/newsRead.php?no=29878&year=2020
2020.01.09.,"중국 원인 불명 ‘폐렴’, 신종 코로나 바이러스로 잠정 판정",한국일보,http://www.hankookilbo.com/news/npath/202001091450062688?did=NA
2020.01.09.,"中 원인 불명 폐렴, '신종 코로나바이러스' 판정",TV조선언론사,http://news.tvchosun.com/site/data/html_dir/2020/01/09/2020010990072.html
2020.01.09.,"中, 우한 폐렴 ""사스 아닌 신종 코로나바이러스"" 잠정 판정(종합)",연합뉴스언론사,http://yna.kr/AKR20200109122400083?did=1195m
2020.01.09.,"중국, 우한 폐렴 ""사스 아닌 신종 코로나바이러스로 잠정 판정""",MBN언론사,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00008&news_seq_no=4029989
2020.01.09.,中 우한 폐렴은 신종 코로나 바이러스 때문…사스·메르스와는 다른 계열,노컷뉴스,https://www.nocutnews.co.kr/news/5270487
2020.01.09.,"中 ""폐렴 원인은 신종 코로나"" 잠정 판정",한국경제언론사,https://www.hankyung.com/international/article/202001095244i
2020.01.09.,‘중국 폐렴’ 환자 상태 안정... 중국 ‘신종 코로나바이러스’ 잠정 판정,국제신문,http://www.kookje.co.kr/news2011/asp/newsbody.asp?code=0300&key=20200109.99099003617
2020.01.09.,"中 원인불명 폐렴, '신종 코로나바이러스' 잠정 판정",아시아경제언론사,https://view.asiae.co.kr/article/2020010915385857833
2020.01.09.,"중국 우한 원인불명 폐렴, 신종 코로나 바이러스",경향신문언론사,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=202001091545001&code=970100
2020.01.09.,"中, 우한 폐렴 ""신종 코로나바이러스"" 잠정 판정",SBS,https://news.sbs.co.kr/news/endPage.do?news_id=N1005597721&plink=ORI&cooper=NAVER
2020.01.09.,中 원인불명 폐렴 신종 코로나 바이러스..코로나 바이러스 예방법은?,크리스천투데이,http://www.christiantoday.co.kr/news/328037
2020.01.09.,"WHO도 ""中 원인불명 폐렴, 새로운 코로나바이러스 가능성 커""",뉴시스,http://www.newsis.com/view/?id=NISX20200109_0000884349&cID=10101&pID=10100
2020.01.09.,"중국 원인불명 폐렴, '신종 코로나바이러스' 잠정 판정...""추가 연구 필요""",펜앤드마이크,http://www.pennmike.com/news/articleView.html?idxno=26961
2020.01.09.,"中 원인 불명 폐렴, 신종 코로나 바이러스로 판명",조선일보언론사,https://news.chosun.com/site/data/html_dir/2020/01/09/2020010902923.html?utm_source=naver&utm_medium=original&utm_campaign=news
2020.01.09.,"우한시 위생건강위원회, 원인 불명 폐렴 환자 59명 발표...사스 아닌 '신종 코로나바이러스' [글로벌이야기]",시선뉴스,http://www.sisunnews.co.kr/news/articleView.html?idxno=119252
2020.01.09.,"中 원인불명 폐렴, ‘신종 코로나바이러스’ 잠정 판정",데일리안,http://www.dailian.co.kr/news/view/859964/?sc=naver
2020.01.09.,中 “신종 코로나바이러스 잠정 판정”…질본 “진단물질 받아 확인 예정”,국민일보언론사,http://news.kmib.co.kr/article/view.asp?arcid=0014113557&code=61121111&cp=nv
2020.01.09.,中 폐렴은 신종 코로나바이러스,아시아투데이,http://www.asiatoday.co.kr/view.php?key=20200109010005242
