word,count
코로나,3785
신종,3743
코로나바이러스,505
확산,407
지원,348
대응,343
예방,310
중국,290
진자,286
방역,282
피해,250
바이러스,212
여파,193
환자,181
확진,170
방지,154
우려,153
경제,148
감염,147
마스크,146
지역,142
총력,139
추가,136
국내,135
속보,127
취소,126
긴급,126
관련,124
감염증,119
사망자,117
차단,113
위해,108
기업,107
대책,105
타격,100
검사,95
퇴원,94
격리,90
사망,89
실시,87
연기,84
정부,83
경기,82
우한,81
대비,80
비상,78
가족,75
경기도,69
점검,66
공포,66
시설,66
소독,65
중소기업,64
오늘,64
가동,63
크루즈선,61
강화,60
극복,58
공장,58
발생,56
광주,56
중단,56
업계,55
은행,54
사태,54
영향,54
체류,54
한국,53
금융,53
하루,53
특별,52
백화점,51
소상,50
진료,50
누적,50
지방세,49
회의,48
대통령,48
공인,46
의회,46
인천,46
보증,46
위기,46
집중,46
항공,46
의심,45
모두,45
방문,45
협력,45
입국,45
자금,45
관리,45
뉴스,44
시장,43
종합,43
운영,43
병원,43
예정,42
개최,42
정보,42
산업,42
삼성,42
기아차,42
사회,42
국민,42
한국인,42
선제,41
메르스,41
시민,41
우리,41
시흥,41
산둥성,41
현장,40
도민,40
증가,39
대구시,39
휴업,39
잠정,38
농협생명,38
경찰,38
안전,37
대회,37
활동,37
확대,36
대전,36
사례,36
경영,36
대구,35
감소,35
조사,35
현황,35
연합,35
학교,34
기관,34
상황,34
음성,34
고양시,34
시흥시,34
홍콩,34
부산,33
대처,33
확인,33
접촉,33
상공,33
의료,33
적극,33
육박,33
해제,32
브리핑,32
현대,32
유지,32
주민,31
위축,31
규모,31
유출,31
이용,30
증시,30
본부,30
행사,30
캠페인,30
설치,30
협의,30
전수,30
억원,30
콘서트,30
노인,29
대상,29
직격탄,29
잠복기,29
위생,29
지코,29
국제,28
치료,28
제주,28
전파,28
활성화,28
김현미,28
자가,27
포토,27
어려움,27
추진,27
경남,27
시간,27
일본,27
롯데,27
주요,27
서울,27
판정,26
보건소,26
개발,26
신규,26
명확,26
진단,25
서비스,25
외국인,25
크루즈,25
전문가,25
전원,25
완치,25
돌파,25
임시,25
필요,25
수원시,25
직접,24
실종,24
폐렴,24
주말,24
가짜,24
논란,24
성장,23
후베이,23
해외,23
유입,23
공개,23
생산,23
단독,23
하락,23
입항,23
항공사,23
검토,22
장관,22
만전,22
동구,22
매장,22
의사,22
광주시,22
재단,22
박원순,22
세계,21
공식,21
알리,21
체육,21
기부,21
개인,21
용인시,21
싱가포르,21
올해,20
전망,20
수출,20
논의,20
물품,20
마련,20
전국,20
자동차,20
출발,20
의원,20
다중,20
투입,20
간담,20
소비,19
이슈,19
회사,19
구리시,19
홍보,19
불안,19
결정,19
자가진단,19
농업인,19
단속,19
채용,19
명명,19
대중교통,19
대적,19
계속,18
면역,18
차질,18
악재,18
안심,18
불똥,18
센터,18
교민,18
장기,18
독거,18
증상,18
가능,18
방위,18
판매,18
후베이성,18
금지,18
충남,18
군수,18
수사,18
주목,17
영업,17
체계,17
동선,17
대상자,17
서울시,17
온라인,17
업체,17
피해자,17
가능성,17
홍성군,17
최소,16
글로벌,16
사용,16
사설,16
조치,16
이번,16
분양,16
주간,16
보험,16
인종차별,16
주문,16
최대,16
전남,16
승객,16
건강,16
매출,16
카메라,16
경로,16
일정,15
고객,15
제공,15
유튜버,15
재난,15
경북,15
권고,15
작업,15
침체,15
효과,15
사스,15
시민기자,15
부산시,15
철저,15
지속,15
투자,15
실적,15
공급,15
신용,15
만장,15
재외국민,15
불안감,14
상태,14
청정,14
쇼크,14
관광,14
제한,14
위험,14
소독제,14
진주시,14
동양인,14
불확실,14
소비자,14
주식,14
종료,14
출근길,14
관내,14
후보,14
중기,14
재개,14
보건,14
증권,14
여명,14
수급,14
안정화,14
전시,14
물가,14
진행,13
제조업,13
예비,13
인천공항,13
생활,13
여행,13
시행,13
위협,13
전자,13
단계,13
고속,13
광산구,13
교육청,13
군산시,13
정점,13
지지율,13
음식점,13
완료,13
언론,13
변수,13
상당,13
발병,13
여수시,13
이동,13
무료,12
악화,12
공연,12
졸업식,12
공단,12
대덕구,12
휴무,12
행정,12
기자,12
경고,12
검역,12
전남도,12
뉴욕,12
언제,12
배부,12
태국,12
달러,12
상승,12
견본주택,12
감염병,12
유통업,12
아산,12
조기,12
한시,12
때문,12
급증,12
협회,12
발표,11
사진,11
전달,11
배달,11
지급,11
포항시,11
자제,11
상담,11
충남도,11
광둥성,11
입장,11
학원,11
손흥민,11
동료,11
유학생,11
건설,11
공유,11
급감,11
이유,11
이상,11
연장,11
전주시,11
집단,11
반등,11
다시,11
하나,11
상보,11
자생,11
소식,11
화상,11
진천군,11
전역,11
아시아,11
기준,11
강도,11
훠궈,11
옥천군,11
출범,11
속출,10
음압,10
이송,10
태백시,10
행세,10
르포,10
결과,10
총장,10
애로,10
시청,10
고발,10
천추,10
퇴치,10
공무원,10
대학,10
전문,10
희망,10
유통,10
하향,10
익산,10
사업,10
융자,10
부품,10
펀드,10
조원,10
대사,10
전북도,10
취약,10
영상,10
방안,10
자산,10
상반기,10
정책,10
도서관,10
휴직,10
무증상,10
중앙,10
단체,10
현재,10
기금,10
홈쇼핑,10
코리아,10
임시회,10
대한,10
부여,10
박정현,10
조롱,10
을지대,10
해남군,10
배포,9
농협,9
강타,9
전북,9
공항,9
풍경,9
김영록,9
허위,9
스포츠,9
신속,9
박람회,9
수요,9
혐오,9
사무,9
하선,9
학술,9
상권,9
기고,9
사과,9
도시,9
다이소,9
생필품,9
편성,9
준비,9
리원량,9
허용,9
운동,9
스톱,9
모바일,9
기념,9
개강,9
소개,9
쇼핑몰,9
거리,9
주가,9
목표,9
숙박업소,9
불가피,9
회복,9
전무,9
안성,9
대표,9
유동성,9
비대,9
새마을,9
우선,9
이해찬,9
자유,9
축제,9
요청,9
불참,9
베트남,9
케어,9
평택시,9
성남,9
본격,9
계양구,9
홈페이지,9
스윙,9
거주지,9
무더기,9
철통,9
김포시,9
금호,9
무급,9
제작,8
농가,8
고용,8
소방,8
배치,8
춘제,8
코스피,8
환율,8
강릉,8
서비스업,8
유포,8
델레,8
기탁,8
만원,8
뉴저지,8
중요,8
전개,8
제안,8
교육,8
환경,8
거주,8
천명,8
유관,8
주의,8
참석,8
레저,8
충격,8
모든,8
안정,8
반도체,8
시진핑,8
줄줄이,8
처음,8
일회용품,8
손소독제,8
사람,8
단지,8
분야,8
나선,8
전면,8
전체,8
공영,8
지도자,8
전통,8
게임,8
걱정,8
박스,8
개국,8
밀양,8
화훼농,8
진흥,8
최초,8
마트,8
그래픽,8
방법,8
구축,8
스케이트장,8
협조,8
신청,8
성금,8
오전,8
드론,8
연구원,8
대란,8
하남시,8
평택,8
예산군,8
간부,8
사전,8
선박,8
아시안,8
국방,8
당부,8
민생,8
탑승,8
영웅본색,8
베를린,8
순차,8
한자리,8
추경,7
연휴,7
손길,7
이케아,7
초비상,7
원금,7
도움,7
지정,7
가구,7
전세기,7
진땀,7
세종시,7
휴일,7
신고,7
구내식당,7
매화동,7
역할,7
어린이집,7
비명,7
일자리,7
눈치,7
그룹,7
교통사고,7
무기,7
제약,7
수혈,7
눈길,7
사천시,7
조정,7
수도,7
미국,7
방어,7
전략,7
심각,7
부정,7
인력,7
버스,7
북한,7
실태,7
원천,7
중심,7
제주도,7
모니터링,7
직원,7
과도,7
열병,7
대형,7
외식,7
경계,7
티브로드,7
중구,7
폐장,7
개장,7
마늘,7
섭취,7
유럽,7
문재인,7
살균,7
옥천,7
서산,7
휴장,7
수립,7
실시간,7
편의점,7
구로구,7
동참,7
이천,7
의정부시,7
거래,7
개막,7
연수,7
봉쇄,7
개회,7
시즌,7
납부,7
필수,6
부양책,6
택배,6
상자,6
급식,6
중증,6
강원,6
전남지사,6
온정,6
긴장,6
단기,6
질병,6
수익,6
고민,6
입건,6
둔화,6
체육회,6
섬유,6
경제활동,6
투어,6
방송,6
고비,6
분수령,6
손님,6
울상,6
일종,6
말실수,6
당국,6
데이터,6
기술,6
중인,6
부부,6
반납,6
주의보,6
보상,6
호텔,6
가격,6
현실,6
성동구,6
택시,6
채권,6
금리,6
광진구,6
유튜브,6
연관,6
비판,6
완주군,6
계층,6
대만,6
쇼핑,6
양산시,6
용품,6
취재,6
물가상승률,6
관악구,6
직업,6
불법,6
셧다운,6
충북,6
장세,6
매화,6
아마존,6
공채,6
박스오피스,6
정박,6
대규모,6
확보,6
스마트,6
할인,6
출정,6
파월,6
엄정,6
주력,6
천억,6
유치원,6
최고,6
바이오,6
돼지,6
어디,6
직구,6
손학규,6
전용,6
울산,6
연고,6
축소,6
세제,6
약물,6
노마,6
전남대,6
서천군,6
계획,6
역학,6
체온,6
요구,6
인삼,6
오픈,6
소득,6
일대,6
건의,6
종사,6
운암,6
국토부,6
고추,6
깻잎,6
기구,6
동두천시,6
뮤지컬,6
광명시,6
성남시,6
시책,6
전력,6
중국인,6
닉티,6
코스,6
물티슈,6
응원,6
관객,5
총력전,5
진실,5
명칭,5
동향,5
주춤,5
관광객,5
보험사,5
안동시,5
경찰서,5
손잡이,5
청소,5
월드,5
폐쇄,5
진출,5
자체,5
안승,5
구리시장,5
패션,5
최신,5
연속,5
아들,5
창원,5
콘텐츠,5
태세,5
나주시,5
장성군,5
생존,5
전쟁,5
에어로졸,5
칼럼,5
죽음,5
반응,5
공공,5
춘절,5
촉각,5
매점매석,5
전염병,5
톡톡,5
특수,5
상생,5
고등학교,5
괴담,5
이중고,5
심리,5
아침,5
문건,5
개월,5
기세,5
지자체,5
문화,5
외출,5
미세먼지,5
소리,5
김제시,5
협업,5
로부터,5
영암군,5
카드,5
화순군,5
국가,5
변동성,5
월일,5
민간,5
차원,5
공공기관,5
기대,5
현대차,5
완화,5
인기,5
이후,5
대신,5
행위,5
청소년,5
마을,5
시립,5
노동자,5
음악제,5
관심,5
인재,5
매수,5
일일,5
영수회담,5
진원,5
학회,5
유행,5
테크,5
지연,5
공기업,5
최전선,5
서구,5
대출,5
봉사,5
체제,5
음식,5
아성,5
보고,5
활용,5
앞장,5
저지,5
평가,5
김재종,5
현지,5
정체,5
특허청,5
스타,5
개인정보,5
포함,5
차이나,5
등장,5
내외,5
전화,5
선별,5
영웅,5
장석영,5
시티즌,5
식품위생,5
광고,5
보합,5
비용,5
연천군,5
체험,5
애플리케이션,5
구속,5
강화군,5
진의,5
유포자,5
관문,5
감시,5
서울시장,5
양준,5
이용섭,5
진안군,5
서초구,5
질환,5
반드시,5
착용,4
군산,4
목욕탕,4
출입,4
분기,4
역성,4
금리인하,4
뉴욕증시,4
며느리,4
농산물,4
방한,4
변경,4
재정,4
휴교,4
영국,4
평균,4
주택,4
데스크,4
영장,4
토트넘,4
동영상,4
껑충,4
화제,4
포항,4
단순,4
과학,4
일장,4
악몽,4
남북,4
정복,4
이벤트,4
접수,4
사항,4
청취,4
썰렁,4
초기,4
능력,4
악성,4
정협,4
페어,4
나눔,4
누리꾼,4
문서,4
성산구,4
대륙,4
불가,4
대본,4
합동,4
함평,4
구슬,4
본부장,4
조억,4
메일,4
진심,4
복귀,4
효자,4
몸살,4
한파,4
금융시장,4
맞선,4
망치,4
인사,4
주시,4
고려,4
전담,4
여행사,4
국내외,4
교실,4
번가,4
특산,4
중수,4
독감,4
보도,4
지사,4
대기업,4
아파트,4
신안군,4
예상,4
지표,4
혼란,4
아이폰,4
추적,4
생화학,4
부안군,4
부서,4
참가,4
창원시,4
통합,4
공사,4
하동군,4
시스템,4
긍정,4
바람,4
강조,4
클로젯,4
통계,4
하이,4
리조트,4
총선,4
민원,4
불구,4
청송군,4
호조,4
경제위기,4
명령,4
화훼,4
소재,4
혈액,4
요인,4
의장,4
증언,4
김치,4
부여군,4
대학로,4
극장,4
언택트,4
박물관,4
제로,4
스트레이트,4
연극,4
유진,4
분석,4
위생용품,4
부진,4
규제,4
아산시,4
연수구,4
용법,4
추세,4
원신종,4
프로그램,4
강세,4
본점,4
변화,4
은평구,4
고령,4
절반,4
평소,4
국립광주과학관,4
학자,4
보장,4
강동구,4
봄꽃,4
유가,4
유예,4
전반,4
대폭,4
재계,4
여전,4
부착,4
차량,4
지인,4
출시,4
발견,4
고시원,4
역사,4
소문,4
의왕시,4
서천,4
편승,4
짝퉁,4
민주당,4
홍성,4
운항,4
아동,4
메뉴,4
신설,4
사고,4
수습,4
아유,4
기능,4
천안,4
권한,4
선원,4
교대,4
확진첫,4
토론회,4
차관,4
아카데미,4
촉구,4
인제군,4
자발,4
개점,4
달라,4
전염,4
방송통신대,4
학위,4
수여,4
고양,4
탈출,4
사건,4
직격타,4
강원도,4
간접,4
중간,4
업무,4
담양군,4
봉산면,4
경산시,4
폭증,4
마치,4
영천시,4
품귀,4
고통,4
청주시,4
음성군,4
스타트업,4
통장,4
중국산,4
각종,4
추모,4
보호,4
부시장,4
투구,4
육성,4
체감,4
배틀,4
라운드,4
세수,4
대한민국,4
캠핑카,4
창녕군,4
다우지수,3
양돈,3
어도,3
폭락,3
급랭,3
사망률,3
안윤효,3
기증,3
전방,3
위로,3
죽도,3
어시장,3
안간힘,3
입학식,3
일산동,3
꼼짝,3
종교,3
정왕,3
동남아,3
도심,3
이재명,3
업데이트,3
탐지,3
포기,3
여성,3
마산회원구,3
청장,3
학교장,3
송도,3
승인,3
절차,3
정은경,3
자영,3
업자,3
위장,3
문자,3
메시지,3
시험,3
플러스,3
이해,3
기록,3
임시국회,3
관광업,3
퇴직,3
회수,3
무방비,3
손씻기,3
시도,3
경유,3
전례,3
과제,3
창궐,3
체포,3
전선,3
공보,3
범죄,3
경로당,3
일시,3
방콕,3
훈련,3
서울대,3
간다,3
일상,3
밸런타인데이,3
감기,3
제각각,3
손실보상,3
실천,3
생물,3
불황,3
다국적,3
연말,3
생방송,3
신안,3
간호,3
기기,3
징계,3
금융기관,3
시티,3
선택,3
제약업,3
보류,3
개봉,3
익산시,3
화웨이,3
함평군,3
생계,3
연구,3
임실군,3
근로자,3
정의,3
선포,3
조천억원,3
복지,3
광양시,3
공중화장실,3
병상,3
광양,3
사투,3
위원회,3
발급,3
통보,3
지하철,3
구속영장,3
해상,3
기회,3
코로,3
나발,3
급락,3
공기,3
인터뷰,3
이철우,3
원대,3
자세,3
산시,3
세상,3
발길,3
장곡고,3
하위,3
하라,3
동원,3
한숨,3
절실,3
마우스,3
공천,3
경쟁,3
뮤직,3
대로,3
모두투어,3
진정,3
전세계,3
마감,3
명동,3
매도,3
유혹,3
부담,3
보육,3
영희,3
리얼미터,3
진천,3
파급,3
루머,3
호소,3
이내,3
경제지표,3
시름,3
경찰청,3
군포시,3
경주시,3
전날,3
파주시,3
격려,3
개관,3
논평,3
돼지고기,3
염태영,3
리커창,3
총리,3
