word,count
코로나,6023
진자,874
극복,513
팬데믹,472
지원,453
선언,414
확산,359
추가,359
확진,356
대응,352
속보,264
방역,243
발생,238
피해,235
콜센터,218
기부,209
감염,196
성금,189
트럼프,174
한국,161
운영,157
여파,157
위해,153
대구,149
억원,147
지역,146
사망,141
사망자,137
진단,123
관련,122
취소,120
키트,120
환자,119
사태,114
예방,112
여행,110
세계,110
증가,109
긴급,107
마스크,107
국내,106
비상,105
전달,101
방지,101
해외,101
우려,100
유럽,95
직원,94
회의,94
인천,91
격리,91
만원,91
중국,90
경북,87
기업,85
상황,84
분당,82
물품,81
종합,81
대책,81
기탁,81
롯데,80
신속,80
판정,79
이탈리아,78
남성,78
제생병원,78
위기,76
경기,76
유벤투스,76
공급,76
현장,75
연기,75
거주,75
구로,73
루가,72
근무,70
어비스,68
신규,67
대본,67
코리아,66
계층,66
하루,65
추경,64
검사,64
의료,63
방문,63
가맹,63
사회,62
미국,62
차단,61
폭락,61
의정부,61
전국,61
대유행,60
병원,60
무상,60
센터,59
통제,59
확대,58
동선,58
특별,58
어제,57
온스,57
큐릭스,57
신한은행,57
시장,56
동참,56
금지,55
중단,55
서울시,55
조치,54
총력,54
하나,54
최대,53
점검,53
연설,53
발표,52
가족,51
심리,51
해수부,51
대국민,51
취약,50
부산,50
개발,50
영향,50
입국,50
공개,50
활동,50
급락,50
대비,49
시설,49
뉴스,49
오전,49
임시,48
청년,48
생활,47
정부,47
강화,47
실시,47
저축은행,47
장관,47
국가보훈처,47
대전,47
코스피,46
수도권,45
경제,45
제주,45
서울,45
치료,45
정세균,45
집단,44
참석,44
영국,43
포토,43
식품,43
누적,43
제한,43
전세계,43
휴업,43
임대료,42
의회,42
완치,42
출시,42
특징,42
소독,41
원단,41
뉴욕증시,41
응원,40
재택근무,40
시민,40
오늘,40
알바,40
관리,39
천명,39
프랑스,39
우한,39
현황,39
공무원,39
세종,39
성남시,39
행복,39
해제,38
소비,38
재난,37
중앙,37
폐쇄,37
무관,37
대통령,37
증시,37
개선,37
집중,37
하락,36
지급,36
구청,36
모든,36
그룹,35
대출,35
수출,35
구호,35
갤러리아,35
유입,34
국가,34
일본,34
마련,34
급증,34
헌혈,34
청사,34
증액,33
서비스,33
제공,33
글로벌,33
자택,33
안심,33
총리,33
감소,33
상승,32
공포,32
양성,32
남동구,32
건물,32
온라인,31
한컴,31
진료,30
개국,30
선포,30
추진,30
상생,30
달러,30
이후,30
편성,30
신천지,29
접촉,29
기자회견,29
게임,29
충격,28
공인,28
모두,28
중소기업,28
의사,28
진행,28
축구,28
결정,28
공식,28
지수,28
시간,28
집회,28
시청,28
쇼크,27
건설,27
예산,27
창원시,27
의심,27
전망,27
장기,27
주가,27
원금,27
목표,27
쌍용차,27
업계,26
슈퍼,26
수당,26
선수,26
의정부시,26
소외,26
전시장,26
국방,26
바이오,25
캠페인,25
홈쇼핑,25
소상,25
투자,25
나눔,25
브리핑,25
평가,25
복지,25
매출,25
주목,25
전파,25
소식,25
강세,25
수비수,25
붕괴,25
사업,25
생활용품,25
구역,25
행크스,25
참여,24
실적,24
이용,24
직격탄,24
연합,24
바이러스,24
금융,24
공단,24
국제,24
백악관,24
판매,24
재택,24
이슈,23
의원,23
상담,23
은행,23
이유,23
구로구,23
방안,23
교육청,23
소방,23
환율,23
보건,23
이란,23
세종시,23
전역,23
삼성,23
중동,23
만수동,23
손정,23
대기,23
태국,23
부평,23
여성,22
단체,22
타격,22
신종,22
시행,22
자가,22
현금,22
어려움,22
인하,22
낙폭,22
주민,22
송산동,22
활용,22
의장,22
리그,21
재정,21
규모,21
개최,21
필요,21
업체,21
북한,21
기준,21
계획,21
약세,21
서산,21
천안시,21
증권,21
식사,21
수원시,21
마시스,21
국방부,21
이인영,21
휴직,20
전문가,20
돌파,20
요청,20
후원,20
전면,20
노인,20
행사,20
유재석,20
민관,20
걱정,20
사례,20
경로,20
신청,20
차질,20
점포,20
유출,20
점주,20
개학,20
에스,20
펀드,20
용인시,20
검토,19
최악,19
경찰,19
행렬,19
관심,19
위험,19
외국인,19
일정,19
최고,19
늑장,19
국민,19
축제,19
제안,19
분양,19
민주당,19
충북,19
부부,19
진주시,19
품관,19
사설,18
고통,18
채용,18
전원,18
증상,18
가능성,18
총선,18
이상,18
광주,18
교육,18
배달,18
유가,18
불안,18
산업,18
한화,18
결제,18
주재,18
퇴원,18
그래픽,18
캠코,18
정비,17
영업,17
다시,17
훈련,17
확인,17
후보,17
우리,17
농협,17
적극,17
때문,17
가능,17
상승세,17
지속,17
약국,17
파견,17
분기,17
집행,17
시작,17
정보,17
철회,17
허위,17
분야,16
자영,16
업자,16
협회,16
대표,16
조기,16
경기도,16
한국인,16
울산,16
퀴즈,16
대상,16
단계,16
칼럼,16
합동,16
눈길,16
펜데믹,16
무료,16
앞장,16
사진,16
수요,16
진입,16
인력,16
회원,16
안정,16
토탈,16
파리,16
가구,16
논의,16
올리브영,16
만들기,16
또봉,16
통닭,16
엑스,16
민생,16
청정,15
정책,15
일자리,15
직접,15
안전,15
푸른,15
언론,15
수원,15
개월,15
식당,15
호주,15
런던,15
공사,15
비판,15
심각,15
상보,15
게임쇼,15
협력,15
이송,15
시애틀,15
예정,15
다우,15
긴장,15
세리에,15
다중,15
체육,15
원주시,15
사용,14
본부,14
면세점,14
단축,14
회복,14
계속,14
보험,14
눈물,14
사무,14
총장,14
경남,14
사랑,14
진주,14
당국자,14
패닉,14
수도,14
보좌,14
고려,14
코로,14
지하상가,14
서민,14
위원회,14
최소,14
발언,14
이동,14
위축,14
부평구,14
보훈처,14
생필품,14
하향,14
명총,14
화이트데이,14
도서관,14
회장,14
허가,14
화서동,14
면제,13
전략,13
릴레이,13
전자,13
독감,13
음성,13
부산시,13
코로나바이러스,13
다른,13
운동,13
희망,13
대처,13
대신,13
학생,13
유지,13
봉사,13
조성,13
총회,13
변경,13
예상,13
고비,13
복지부,13
초비상,13
심사,13
나발,13
지방세,13
에스엠,13
기증,13
네이버,13
호날두,13
진흥,13
일산,13
백병원,13
절반,13
돌입,12
전개,12
악화,12
공연,12
간담,12
온정,12
경산시,12
한수원,12
육박,12
공동,12
올해,12
음식,12
보은군,12
전담,12
스웨덴,12
사상,12
대란,12
이틀,12
반등,12
인도,12
기금,12
인터넷,12
모금,12
달이,12
개인정보,12
안보,12
매장,12
경보,12
속도,12
전시,12
재개,12
주식,12
융자,12
부통령,12
일간,12
시즌,12
보증,12
빌딩,12
마트,12
비난,12
인기,12
더벨,12
남동,12
엘피,12
자원봉사,12
응급실,12
하도급,12
대금,12
클라스,12
바로,12
명대,12
고용,11
주간,11
투입,11
기본소득,11
격려,11
예비,11
대폭,11
영주,11
요양원,11
대규모,11
학교,11
자금,11
효과,11
당국,11
문자,11
포함,11
가장,11
출국,11
소득,11
국민은행,11
광양시,11
호텔,11
개막전,11
미국증시,11
에너지,11
부족,11
중대,11
국회,11
추경안,11
경영,11
은폐,11
수석,11
구리시,11
청주시,11
제외,11
최저,11
분산,11
분담,11
확보,11
봉사활동,11
모니터링,11
부정,11
청양군,11
동서,11
발전,11
명품,11
역대,11
시청률,11
고베,11
유타,11
부평동,11
적막,11
배우,11
투표,10
블루,10
풍경,10
기대,10
자원봉사자,10
노래,10
불교,10
영상,10
영화,10
신고,10
출범,10
초기,10
주춤,10
제작,10
쯔위,10
대만,10
고객,10
이색,10
북유럽,10
무더기,10
수준,10
전염병,10
기구,10
일제,10
종식,10
현실,10
선물,10
진정,10
강의,10
수급,10
전남,10
일일,10
불가피,10
수행,10
아동,10
대가,10
현대차,10
캐나다,10
현재,10
현직,10
쿠웨이트,10
여객기,10
포항시,10
자치,10
해경,10
두번째,10
봉쇄,10
벚꽃,10
입건,10
파장,10
상가,10
연장,10
인건비,10
침체,10
국무총리,10
최초,10
해양수산부,10
논란,10
유진,10
유사,10
부총리,10
중진,10
구미,10
충북도,10
할인,10
청담,10
홈파티,10
증세,10
박능후,10
신도림역,10
급등,10
납세,10
육군,10
복위,10
상공,10
지하,10
안산시,10
군청,10
비중,10
해외진출,10
김포공항,9
중증,9
택시,9
강원,9
줄줄이,9
도내,9
부금,9
투어,9
경찰서,9
소독제,9
배부,9
즉각,9
일부,9
두산,9
스페인,9
장비,9
꾸러미,9
광주시,9
워드,9
전격,9
신설,9
예고,9
조사,9
악재,9
혈액,9
승객,9
인구,9
일상,9
민주주의,9
자동차,9
출근,9
스트레스,9
변화,9
적용,9
