word,count
코로나,4001
극복,457
대응,279
지원,268
진자,242
치료,234
신규,166
여파,141
감염,139
분기,139
확진,131
개발,130
정부,129
사망자,126
방역,118
위기,108
생활,108
이후,98
속보,97
추가,96
피해,94
기부,94
한국,92
백신,89
경제,87
긴급,86
의료,86
환자,84
위해,83
사회,81
성금,81
사망,79
기업,79
국내,79
전달,78
달러,75
발행,75
영업,74
지역,73
세계,72
채권,71
동참,70
운영,70
누적,69
규모,69
국민은행,66
병원,65
키트,65
확산,65
일본,63
발생,63
확대,63
미국,62
진단,62
센터,62
기탁,60
격리,60
온라인,59
포스트,57
개최,55
원단,55
글로벌,53
마스크,53
감소,53
예방,53
영향,52
사태,52
우려,52
중국,51
관련,51
캠페인,51
대비,49
종합,49
대구,48
해외,48
서비스,48
물품,47
취소,46
연구,46
시설,45
주의보,45
실적,45
기아차,45
현대,45
시대,44
포토,44
순위,44
검사,44
거리,43
만원,43
억원,43
대책,43
회의,43
사업,43
상승,43
시비르,43
실시,43
소녀,43
실패,42
서울,42
경북,41
렘데,41
악화,41
예산,40
응원,40
장기,40
하루,40
가동,39
본격,39
포스코,39
관리,38
증가,38
이틀,38
브리핑,38
현황,38
원금,37
임시,37
장관,36
진행,36
투자,36
유럽,36
하락,36
공유,35
가능성,35
두기,34
자가,34
화상회의,34
공식,34
완치,34
직격탄,34
희망,34
완화,33
돌파,33
추진,33
전국,33
린지,33
마련,32
협력,32
집단,31
외출,31
고용,31
공개,31
오카,30
뉴스,30
효과,30
공인,30
바이오,30
전략,30
산업,30
재개,30
협회,30
시작,30
포럼,30
해체,30
미코,29
소상,29
심의,29
국민,29
건강,29
부산,28
시장,28
방지,28
특별,28
최대,28
충격,28
삼성,28
연장,28
뉴욕증시,28
경기도,28
부금,28
교육,28
종료,28
재난,27
소비,27
취약,27
강화,27
직원,27
간호사,27
연속,27
신세계,27
목표,27
덕분,27
릴레이,27
의회,26
금융,26
트럼프,26
비상,26
안정,26
경기,26
뉴욕주,26
수출,26
모집,26
기준,25
인천,25
상황,25
기간,25
일상,25
발표,25
만대,25
현대차,25
농산물,25
수주,25
공장,25
배우,24
공사,24
경남,24
격려,24
자금,24
위험,24
참여,24
방문,24
모색,24
추경,23
쇼크,23
근무,23
임상시험,23
발전,23
지침,23
다우,23
전환,23
주거,23
회사,23
타격,22
손실,22
방안,22
조원,22
유가,22
뉴욕,22
계속,22
활동,22
재양,22
빗썸,22
전문,22
해제,21
오늘,21
문화,21
비대,21
국제,21
워런,21
감사,21
사상,21
항체,21
점검,21
만기,21
당국,20
연기,20
제주,20
바이러스,20
건설,20
블루,20
통계,20
일자리,20
가능,20
단축,20
행사,19
봉쇄,19
창원,19
이상,19
의원,19
전남,19
스루,19
전세계,19
실제,19
우리,19
르노,19
리포트,19
준비,19
어제,19
증권,19
정보,19
학교,19
고립,19
경제위기,19
모비스,19
제철,19
공단,18
유지,18
투입,18
대상,18
기금,18
오빠,18
지속,18
이익,18
출고,18
공무원,17
급여,17
증시,17
브라질,17
일부,17
성공,17
가족,17
수요,17
학생,17
회복,17
경영,17
특징,17
금지,17
