word,count
신종,209
코로나바이러스,193
코로나,89
우한,67
대응,49
중국,48
바이러스,47
확산,43
감염증,43
환자,40
폐렴,35
대책,32
사람,28
확진,28
비상,28
전염,25
발생,25
감염,24
국내,21
강화,21
가동,21
안정,21
확인,19
주의,19
진자,18
긴급,18
정부,16
상태,15
관련,14
회의,14
체계,14
사망자,13
의심,13
방지,13
김영록,12
주문,12
검역,11
방역,10
시스템,10
메르스,9
상향,9
용인시,9
소집,8
경기도,8
증시,8
전남도지사,8
보건,7
위원회,7
우한시,7
테마,7
접촉,7
감염병,7
경보,7
유입,7
입국,6
당국,6
개최,6
오리엔트,6
바이오,6
매트릭스,6
종목,6
하락,6
유증,6
상자,6
지역,6
예방,6
보험,6
연휴,6
육박,6
격리,5
가능성,5
선제,5
방법,5
단계,5
승률,5
상위,5
진원,5
생명과학,5
증상,5
백신,5
위기,5
본부,5
해외,5
총력,5
심평원,5
심사평가원,5
안양시,5
음성,5
외교부,5
화상회의,5
중국인,4
종합,4
전파,4
사망,4
추가,4
중요,4
시간,4
급등,4
서도,4
상승,4
특징,4
의료,4
관리,4
감시,4
소하,4
오공,4
전북도,4
대통령,4
마감,4
긴장,4
공관,4
초비상,3
여성,3
전역,3
공항,3
전문가,3
사스,3
마스크,3
인천,3
워드,3
주식,3
공포,3
당부,3
포항시,3
이슈,3
고려,3
검사,3
질병,3
관심,3
모니터링,3
사회,3
청주시,3
항공,3
철저,3
전남지사,3
필요,3
일본,3
시장,3
환율,3
양주시,3
안전,3
모두,3
울산,3
베이징,2
즉시,2
확증,2
무게,2
조기,2
발견,2
춘제,2
시민,2
국제,2
무엇,2
신형,2
위치,2
우려,2
격상,2
브리핑,2
일제,2
오전,2
주도,2
현재,2
피해,2
설명,2
차관,2
국적,2
조치,2
신고,2
글로벌,2
주가,2
치료,2
위해,2
관계,2
능동,2
부처,2
관찰,2
승객,2
의원,2
국경,2
산시,2
대비,2
오후,2
제약,2
발원,2
지서,2
심리,2
국제공항,2
광명시,2
설연휴,2
고비,2
전국,2
개발,2
진료,2
지정,2
특별,2
호주,2
타이완,2
마련,2
상황,2
필리핀,2
사례,2
속출,2
점검,2
화난,2
이동,2
광둥,1
급증,1
전이,1
공개,1
공기,1
여부,1
태양,1
바깥,1
변종,1
명메,1
스르,1
위중,1
어제,1
사태,1
결정,1
인정사망,1
시작,1
구체,1
명절,1
개인,1
위생,1
더욱,1
소식,1
오늘,1
설날,1
관광객,1
불청객,1
테마주,1
주의보,1
제주도,1
원진,1
악수,1
신체,1
신주,1
상한,1
평택시,1
핫이슈,1
네팔,1
히말라야,1
실종,1
지하철,1
파업,1
신유미,1
이국,1
교수,1
선호,1
해외여행,1
한국,1
청주국제공항,1
명도,1
비주,1
바로,1
인체,1
약진,1
대폭,1
전북,1
확대,1
조정,1
초동,1
대처,1
김성원,1
대변인,1
논평,1
정의당,1
원내대표,1
정보,1
동정,1
진행,1
원인,1
껑충,1
기승,1
평균,1
글쎄,1
촉발,1
정체,1
동승,1
승무원,1
추적,1
방문,1
통해,1
우리,1
간담,1
경로,1
파악,1
예의,1
주시,1
상승세,1
견인,1
출발,1
투자,1
위축,1
상하이,1
안후이,1
시멘트,1
초상,1
은행,1
통한,1
판단,1
준수,1
강석기,1
과학카페,1
진화,1
어디,1
팩트,1
정리,1
가지,1
연합,1
시론,1
심상찮,1
윤관석,1
최대,1
양상,1
만전,1
기간,1
돌입,1
최종,1
출시,1
이상,1
지사,1
법정전염병,1
분류,1
최고,1
얼마나,1
현지,1
시찰,1
신속,1
종가,1
시흥,1
센트럴,1
병원,1
기관,1
계심,1
아유,1
경제,1
군산시,1
치사,1
국무회의,1
주재,1
유치원,1
달라,1
필수,1
강타,1
원화,1
위안화,1
엔화,1
진도,1
대거,1
도지사,1
심사,1
수칙,1
착용,1
시진핑,1
지시,1
용인,1
구축,1
체크,1
닥튜버,1
남자,1
프로젝트,1
비밀,1
대구,1
코넬,1
비뇨,1
의학과,1
이영진,1
원장,1
추진,1
의약품,1
사용,1
서비스,1
최근,1
남성,1
판정,1
해제,1
스브스,1
뉴스,1
제도,1
조사,1
대상,1
최선,1
소견,1
감영,1
상륙,1
여객,1
터미널,1
대규모,1
춘윈,1
전염병,1
누적,1
청주공항,1
홍콩,1
급락,1
핑안,1
재산,1
신화,1
캐세이,1
퍼시픽,1
둥팡,1
텅쉰,1
유방,1
리포트,1
충남,1
투자자,1
냉각,1
상해,1
희생,1
증가,1
운영,1
요구,1
지속,1
사실,1
보도,1
케이,1
영향,1
자매결연도시,1
바짝,1
협력,1
러시아,1
진단,1
시약,1
건너,1
시도,1
