word,count
코로나,5571
진자,725
극복,570
지원,421
확진,306
대응,298
사망자,281
미국,269
신규,252
세계,216
해외,215
속보,212
확산,205
격리,197
지역,191
발생,187
백신,186
피해,185
추가,179
위기,179
방역,173
성금,161
완치,161
정부,151
경제,142
부활절,141
증가,140
기탁,138
감염,132
치료,130
여파,129
유입,128
위해,125
국내,125
긴급,121
개발,119
하루,116
일본,116
시설,111
환자,108
회의,107
금융,104
자가,103
한국,97
예방,94
인천,93
대구,93
대책,91
사망,91
총선,91
투표,91
활동,88
예배,86
종합,85
방지,80
입국,80
전달,79
정치국,79
누적,78
사회,75
게이츠,74
시장,73
이후,72
기업,72
어제,72
재난,71
검사,70
글로벌,70
무증상,70
천명,69
업계,67
확대,66
전망,65
특별,64
대통령,64
논의,63
경기,62
운영,62
경북,61
마스크,61
점검,61
장기,61
포토,60
원단,60
충격,59
공공재,59
법인,59
거리,57
가능,56
이탈리아,56
개최,56
현황,55
지정,55
병원,55
행사,54
모두,54
북한,54
보험,53
신한은행,53
기부,52
우려,51
실시,51
연기,51
취소,51
봉쇄,50
유럽,50
강화,50
의료,49
추진,49
가동,49
온라인,48
이용,48
유지,48
중국,47
소상,47
공인,47
생산,47
급증,47
차단,47
김정은,47
분기,47
감소,46
연속,46
취약,46
충남,46
진단,45
일부,45
여성,45
고용,44
만원,44
비상,44
관련,44
협력,43
전세계,43
사태,43
대출,43
스타,43
나흘,42
복지,42
원금,42
두기,42
관리,42
판정,41
당국,41
다중,40
직원,40
현장,40
생활,40
서울,40
서천,40
포스코건설,40
전남도,39
투자,39
지급,39
수출,39
단체,39
소비,38
퇴원,38
돌파,38
중소기업,38
다시,37
검토,37
후보,37
회복,37
교회,37
공급,37
예천,36
협회,36
이상,36
사례,36
의회,36
은행권,36
자만,36
사업,35
스페인,35
재개,35
프랑스,35
총력,35
필드,35
센터,35
유동성,35
연장,34
완화,34
계층,34
억원,34
정책,34
국가,34
금융위기,34
소매,34
조원,34
제약,34
해제,33
호텔,33
농산물,33
광주,33
자금,33
이번,33
나눔,32
동참,32
산업,32
유흥,32
무보,32
개월,31
농가,31
트럼프,31
종식,31
때문,31
기준,31
외국인,30
육박,30
안정,30
본격,30
대상,30
서천군,30
바이러스,30
바이오,30
유통업,30
규제,29
손실,29
공원,29
택배,29
명대,28
연합,28
집단,28
경고,28
사전투표,28
역대,28
경제위기,28
가격,28
국제,28
준비,28
시민,28
방문,28
교포,28
제주,28
면역,27
대비,27
물품,27
적금,27
해지,27
거주,27
세포,27
가능성,26
조치,26
재양,26
장관,26
휴장,26
직격탄,26
상황,26
주간,26
진정,26
무역,26
중단,26
필요,25
마련,25
재확진,25
전국,25
재정,25
드라이브,25
전원,25
효과,25
매출,25
운동,25
영향,25
접촉,25
용인시,25
최대,25
쇼크,25
반등,25
명총,25
그래픽,25
영국,24
부산,24
기록,24
올해,24
전남,24
수준,24
우리,24
주재,24
최고,24
판매,24
경남,24
안심,24
총리,24
사랑,24
확인,24
이틀,24
건의,23
안전,23
진주시,23
광주시,23
심각,23
추경,23
농협,23
릴레이,23
화성시,23
파괴,23
경연,23
오후,23
적극,22
발표,22
계획,22
임시,22
폐쇄,22
합동,22
실적,22
블루,22
공무원,22
상생,22
제작,22
정상,22
통상,22
희망,22
아세안,22
대회,21
소독,21
캠페인,21
비대,21
구매,21
구성,21
방안,21
전북,21
조기,21
스트레스,21
인체,21
버스,21
에이즈,21
포항시,20
풍경,20
공동,20
활성화,20
접수,20
복귀,20
위험,20
전략,20
집중,20
일자리,20
공개,20
폐업,20
심리,20
예산,20
권고,20
협약,20
키트,20
상품,20
문화,20
공주시,20
남성,20
전수,20
독일,20
진주,20
분쟁,20
흡혈박쥐,20
의심,19
고통,19
주민,19
신안군,19
경찰,19
선거,19
침체,19
시대,19
위반,19
자수,19
김여정,19
자동차,19
훈련,19
일상,19
간담,19
본부,19
편성,19
동선,19
붕괴,19
팬데믹,18
통제,18
참석,18
걱정,18
조정,18
청년,18
금품,18
기고,18
소득,18
공사,18
인력,18
전환,18
구청,18
평택,18
유치,17
이슈,17
가축,17
담양군,17
국민,17
고흥군,17
학원,17
교육청,17
기간,17
요청,17
구호,17
대구시,17
건강,17
워십,17
자릿수,17
유성구,17
온라인쇼핑,17
허용,17
대전,17
사스,17
금지,17
윤종원,17
환경,16
도입,16
업무,16
보고서,16
브라질,16
추월,16
임시회,16
업체,16
이브,16
노래방,16
파리,16
최초,16
빌게이츠,16
민관,16
한시,16
기술,16
차량,16
주말,16
명국,16
조사,16
절실,16
주의,16
생물,16
미군,16
영상통화,16
과제,15
생활비,15
노인,15
설치,15
봉사,15
여왕,15
투입,15
여행사,15
간부,15
폭증,15
감사,15
공연,15
친환경,15
로저스,15
우선,15
콘텐츠,15
숙소,15
군청,15
검역,15
뉴스,15
모금,15
체계,15
기관,14
구글,14
애플,14
통합,14
김종인,14
응원,14
보은군,14
수도권,14
근로자,14
하나,14
문제,14
상보,14
단양군,14
선포,14
예상,14
정세균,14
반납,14
분담,14
외출,14
미만,14
대한민국,14
음성,14
하향,14
아산시,14
최저,14
오늘,14
조짐,14
대만,14
군내,14
공조,14
이전,14
부활,14
잿빛,14
응급의료,14
의정부,14
시청,14
보노,14
메시지,13
인도,13
여명,13
이웃,13
지속,13
터키,13
무협,13
일일,13
최소,13
포스트,13
계속,13
시간,13
위원,13
경로,13
선수,13
화훼,13
행정,13
전문,13
워싱턴,13
헌혈,13
진행,13
장비,13
은행,13
꾸러미,13
광명시,13
협의,13
장애인,13
목표,13
체력,13
가지,13
개선,13
전개,13
화상,13
무료,13
맞이,13
병사,13
브리핑,13
서비스,13
화상회의,13
손상,13
적용,13
판로,13
성모,13
줄줄이,12
교수,12
세상,12
부산시,12
요금,12
명일,12
증상,12
영업,12
연구원,12
삼성,12
반도체,12
투르,12
여행,12
기대,12
주목,12
홍보,12
거창군,12
참여,12
제한,12
예정,12
도시,12
무주군,12
익산시,12
구단,12
진천군,12
혁신,12
해소,12
제재,12
지수,12
코로,12
나발,12
귀국,12
경찰서,12
보험료,12
납부,12
모범,12
보험사,12
월간,12
차례,12
종교,12
전파,11
교황,11
위원장,11
긴장,11
가장,11
사흘,11
성장,11
처음,11
절반,11
격려,11
장학금,11
인터뷰,11
라이브,11
쇼핑,11
장애,11
계위,11
희생,11
기아차,11
렘데,11
시비르,11
배달,11
방송,11
가족,11
양성,11
인공,11
촉구,11
부여군,11
위축,11
수도,11
돕기,11
예천군,11
달라,11
이사,11
대한항공,11
모든,11
송도,11
지침,11
기초,11
타격,11
논란,11
서울시,11
달러,11
현재,11
축제,11
규정,11
명명,11
남아,11
골프,11
국토부,11
유도,11
최악,11
생명,11
경기도,11
능력,11
부족,11
변동성,11
재활용,11
그린,11
미군기지,11
잠시,11
민생,10
월일,10
의원,10
보성군,10
복지관,10
세명,10
축협,10
사진,10
집행,10
현대,10
밴드,10
증시,10
도쿄,10
이유,10
중소,10
신차,10
공장,10
결과,10
목포시,10
이탈,10
고발,10
쿠폰,10
기획사,10
강행,10
손길,10
하동군,10
농촌,10
한진,10
어가,10
눈길,10
개학,10
사상,10
신종,10
환불,10
서초구청장,10
앞장,10
야전,10
사령관,10
안병선,10
종사,10
중앙,10
유행,10
유통,10
불교,10
물량,10
제주도,10
아동,10
조천억,10
후원,10
구리,10
선제,10
사설,10
기업은행,10
공단,9
특수,9
진료,9
스루,9
곳곳,9
이란,9
곡성군,9
화순,9
미사,9
휴일,9
서도,9
천억원,9
호흡기,9
변화,9
바닥,9
시작,9
전자,9
동구,9
만장,9
지표,9
연수,9
전체,9
설상가상,9
유가,9
싸움,9
묶인,9
출동,9
임대료,9
보호,9
상담,9
테니스,9
한일,9
동해시,9
교습,9
상공,9
군민,9
상품권,9
청소년,9
사천시,9
유사,9
국적,9
충주시,9
학생,9
연대,9
포커,9
악화,9
사람,9
지난달,9
파티,9
각종,9
불가피,9
선택,9
어려움,9
홍콩,9
사용,9
작년,9
주차장,9
경산,9
청장,9
코로나바이러스,9
과장,9
휴직,9
입원,9
인하,9
격화될,9
어선,9
자도,9
싱가포르,9
사항,9
전례,9
고려,9
박차,9
장수군,9
신청,9
전문가,9
봉화군,9
위중,9
경주시,9
내일,9
대본,9
천만원,8
불황,8
구진,8
예측,8
추적,8
중구,8
야스쿠니,8
참배,8
뉴욕,8
진도군,8
개회,8
달성군,8
전통,8
패배,8
제시,8
대학,8
시행,8
불시,8
공직자,8
명종,8
광양시,8
발열,8
강조,8
아파트,8
항공,8
매체,8
경신,8
목소리,8
심판,8
일장,8
반년,8
산재,8
괴산군,8
결정,8
서초구,8
성공,8
호전,8
방법,8
적발,8
교육,8
올림픽,8
수업,8
귀환,8
활용,8
농어,8
민수,8
강원,8
우호,8
레전드,8
노사,8
제공,8
합천군,8
함양군,8
밀양시,8
상주시,8
드래프트,8
신고,8
정점,8
동영상,8
신한,8
리더십,8
기회,8
존슨,8
영웅,8
성품,8
배송,8
그룹,8
승객,8
뇌출혈,8
옥천군,8
제도,8
러시아,8
리그,8
대처,8
감염증,8
해군,8
영상,8
문재인,8
계약,8
개도국,8
지사,8
포천,8
농식품부,8
확보,8
불법,8
처벌,8
외환위기,8
휴업,8
안산,8
성남,8
건설,7
공기,7
연구,7
지대,7
부스,7
등장,7
멕시코,7
사실,7
치매,7
어르신,7
공백,7
장흥군,7
최씨,7
종중,7
총력전,7
단독,7
둔화,7
염원,7
황금,7
대나무,7
심기,7
국산,7
언택트,7
투쟁,7
여수시,7
회장,7
공포,7
인정,7
노동당,7
변수,7
이자,7
관내,7
규모,7
남부,7
군산,7
이송,7
갈등,7
세종시,7
축산물,7
화재,7
평균,7
공유,7
구미,7
로타리,7
클럽,7
자영,7
업자,7
태안군,7
레알,7
혈액,7
김제시,7
급식,7
위생,7
부지역,7
정보,7
신인,7
일손,7
예술,7
홈쇼핑,7
소진,7
콜비,7
전쟁,7
촉진,7
민간,7
생일,7
관심,7
모스크바,7
화훼농,7
마트,7
유튜브,7
계기,7
모바일,7
아래,7
프로야구,7
상당,7
성남시,7
노하우,7
추이,7
충북,7
코이카,7
연일,7
보조금,7
에스,7
하락,7
공군,7
기한,7
중기,7
평택시,7
연맹,7
급여,7
표본,7
기사,7
손흥민,7
군수,7
우한,7
대란,7
단원,7
돼지고기,7
은평구,7
양주,7
기원,7
양주시,7
청도군,7
시기,7
원인,7
인포그래픽,7
취임,7
축소,7
상주,7
서한,7
도쿄도,7
경주,6
개혁,6
출시,6
개국,6
아이,6
홀로,6
외신,6
기자,6
극장,6
개념,6
생필품,6
봇물,6
안해,6
추락,6
일정,6
식료품,6
포인트,6
민주,6
무안군,6
의용소방대,6
해남군,6
주가,6
제로,6
간다,6
증액,6
의결,6
임상시험,6
나라,6
덕분,6
무시,6
행보,6
옥스퍼드대,6
뉴욕증시,6
자치,6
명꼴,6
데코,6
전역,6
마지막,6
오명,6
구급대,6
소비자,6
누가,6
양구군,6
태백시,6
아이디어,6
단란주점,6
유해,6
함안군,6
대표,6
여자,6
위로,6
음성군,6
집값,6
북구,6
재계,6
생계,6
수산물,6
사고,6
명확,6
개설,6
이제,6
이재명,6
댈러스,6
