word,count
코로나,1568
진자,200
환자,199
격리,176
감염,166
일본,162
추가,152
중국,131
확산,112
속보,103
해제,95
정부,86
신종,83
우한,83
사망자,83
발생,80
확진,78
대응,77
지역,74
교민,70
우려,70
크루즈선,70
닷새,66
음성,65
지원,63
사망,62
퇴원,62
국내,61
명확,58
감시,58
신규,54
오늘,48
종합,48
검토,47
여파,44
상황,44
병원,44
검사,44
확인,43
완치,41
유럽,40
프랑스,38
퇴소,36
경제,35
체계,35
방역,34
위기,34
예방,34
신청,34
아프리카,33
번번,33
누적,32
오염,31
입원,30
이집트,28
피해,27
사태,27
접수,27
정박,27
코로나바이러스,26
연기,26
판정,26
의사,26
유지,25
독감,23
생활비,23
인플루엔자,23
포함,23
총력,22
후베이,22
증가,22
지정,22
마스크,22
바이러스,21
주춤,21
처음,21
중증,21
모두,20
입국,20
시설,20
관련,20
감소,20
심각,20
시진핑,19
천명,19
북한,19
극복,18
방지,18
크루즈,18
아시아,18
의료,18
귀국,18
조정,18
전원,17
사회,17
의심,16
위해,16
하루,16
주시,16
영향,16
단계,16
아산,16
시장,15
대책,15
상승,15
대륙,15
행사,15
생활,15
고려,15
논의,14
운영,14
증시,14
하락,14
사례,14
뉴스,14
후베이성,14
당국,14
불안,13
비상,13
국민,13
아베,13
진정,13
중앙,13
공포,13
증상,13
취소,13
보건,13
투어,13
감염증,13
관광객,13
유행,12
활성화,12
전역,12
차단,12
글로벌,12
대회,12
국제,12
나흘,12
미국,12
연속,12
대상,12
개최,12
한국,12
시민,12
여부,12
휴가,12
긴급,11
기업,11
도쿄올림픽,11
실시,11
예의,11
위축,11
기대,11
무역,11
필요,11
부산,11
도쿄,11
중국인,10
유학생,10
이슈,10
불확실,10
싱가포르,10
주말,10
발열,10
분양,10
업계,10
보고,10
해상,10
감염병,10
집회,10
공동,10
긴장,10
현황,10
예정,10
진천,10
위험,9
지속,9
자금,9
진단,9
총재,9
경보,9
위생,9
항공,9
돌파,9
은행,9
명명,9
골프,9
계절,9
입항,9
환송,9
가장,9
대구,9
여명,8
뉴욕증시,8
정상,8
준비,8
논란,8
카드,8
대학,8
일상,8
외교,8
이틀,8
영상,8
방제,8
판매,8
심리,8
확대,8
대처,8
대비,8
관찰,8
부족,8
회의,8
대상자,8
브리핑,8
관리,8
올림픽,8
장관,8
전달,8
치료,8
방일,8
이행,8
국면,8
기부,7
억원,7
경기,7
소비,7
체제,7
가족,7
홍콩,7
연장,7
사이버,7
접촉,7
캠페인,7
한국인,7
걱정,7
외국인,7
유가,7
헌혈,7
태국,7
지방세,7
통제,7
세계,7
일부,7
상보,7
최선,7
본부,7
경찰,7
가능성,7
심야토론,7
변동,7
승객,7
현장,7
내일,7
집단,7
베트남,7
전파,7
총리,7
방문,7
탑승,7
전쟁,7
지정은,7
합의,7
한미,7
경북,7
문답,7
관광,6
열도,6
강화,6
전국,6
고비,6
경로,6
속출,6
탈출,6
전문가,6
평가,6
조언,6
안전,6
홋카이도,6
오키나와,6
제한,6
포토,6
사람,6
민주,6
고발,6
급감,6
애플,6
복지,6
혈액,6
마감,6
최근,6
제주도,6
이유,6
이용,6
주간,6
대구시,6
자가,6
명종,6
농협,6
진행,6
가짜,6
전날,6
보건소,6
명대,6
유행병,6
살균,6
세스코,6
아시안,6
현재,6
대규모,6
임시,6
연기론,6
노마,6
가능,6
승리,6
무증상,6
실종,6
교회,6
북핵,6
와카야마현,6
자제,5
전통,5
토론,5
안간힘,5
협력,5
인민,5
지표,5
주가,5
러시아,5
시간,5
사유재산,5
발령,5
금지,5
단점,5
보완,5
국가,5
제주,5
상륙,5
변수,5
결정,5
올해,5
전염병,5
리스크,5
수원,5
주목,5
시작,5
정책,5
각국,5
추진,5
뉴욕,5
해외,5
분기,5
반등,5
전망,5
촉각,5
산업,5
여성,5
타격,5
폐렴,5
평택시,5
가구,5
수준,5
면역,5
매장,5
이후,5
의회,5
직격탄,5
풍경,5
작업,5
영화,5
직원,5
제로,5
외교부,5
세종시,5
판단,5
공개,5
하향,5
거부,5
종식,5
침체,5
국민연금,5
대감,5
주민,5
정치권,5
우선,5
경계,5
방안,5
구출,5
장기,5
남성,5
목포,5
센터,5
다음,5
최초,5
공조,5
명중,5
이외,5
건강,4
이동형,4
설치,4
교육,4
상인,4
펀드,4
현지,4
여행,4
소독,4
중단,4
급증,4
일제,4
년제,4
개강,4
전세계,4
동참,4
수도,4
중앙은행,4
가격,4
줄줄이,4
자동차,4
부동산,4
만원,4
손해,4
먹구름,4
입장,4
언제,4
백화점,4
생산,4
수출,4
수급,4
최대,4
김해,4
경전철,4
우리나라,4
발표,4
기준,4
회복,4
활기,4
정세균,4
성장,4
구내식당,4
출시,4
페이스북,4
재개,4
오산시,4
매출,4
권고,4
유러,4
결과,4
정례,4
소방,4
다시,4
일간,4
안정,4
업자,4
그래픽,4
컨테이젼,4
명총,4
기관,4
비판,4
스마트폰,4
계속,4
사진,4
용인시,4
비유,4
재개발,4
사고,4
수습,4
공단,4
유급,4
데이트,4
다이아몬드,4
프린세스,4
신중,4
신속,4
활동,4
주의,4
소하,4
과천시,4
복지관,4
출신,4
케이블카,4
의료인,4
군산시,4
시민기자,4
마련,3
때문,3
태백,3
상공,3
공급,3
의원,3
예비,3
후보,3
상태,3
리더십,3
기숙사,3
단체,3
간담,3
투입,3
외식,3
광저우,3
선전,3
조사,3
변국,3
조치,3
월드,3
오픈,3
이송,3
향후,3
최소,3
메르스,3
콘서트,3
총선,3
쇼크,3
항공사,3
대북,3
칼럼,3
발언,3
중요,3
발병,3
최국,3
소관,3
최고,3
삼성,3
서울,3
보험,3
부진,3
대통령,3
안심,3
평균,3
민주당,3
운동,3
취약성,3
촉구,3
업체,3
재난,3
코스피,3
캘린더,3
곳곳,3
정보,3
마케팅,3
신차,3
게임,3
상반기,3
거래,3
예산,3
차별,3
취재,3
손보,3
성금,3
채용,3
본토,3
공룡,3
대유행,3
김해시,3
거리,3
여전,3
부족함,3
금융,3
이상,3
경영,3
광주시,3
다중,3
초비상,3
계획,3
호주,3
초미세먼지,3
전체,3
산세,3
이천시,3
상권,3
연천군,3
미세먼지,3
눈물,3
유일,3
추세,3
자도,3
과잉,3
샤오미,3
격려,3
악용,3
인정,3
상담,3
지급,3
국립,3
문제,3
개국,3
우리,3
비용,3
발렌타인데이,3
노력,3
야당,3
식품,3
대국민,3
기재부,3
복귀,3
유보,3
대피,3
감옥,3
동료,3
발원,3
완쾌,3
농가,3
잠복기,3
실태,3
전환,3
경기도,3
점검,3
말레이,3
무더기,3
인플레이션,3
외출,2
기금,2
난리,2
당부,2
진료,2
엑스레이,2
밤샘,2
동민,2
김승희,2
이재,2
최재욱,2
불황,2
김천시,2
김장,2
문턱,2
축제,2
광둥성,2
전시,2
선언,2
부실,2
출발,2
대학가,2
위원회,2
군포시,2
안양시,2
축소,2
희화,2
티셔츠,2
제외,2
단축,2
사상,2
스위스,2
운항,2
특별,2
역학,2
완화,2
문화,2
지지,2
판매량,2
여행자,2
전자현미경,2
실제,2
모습,2
달러화,2
약세,2
물량,2
지방,2
모델하우스,2
취약,2
미국증시,2
자신,2
동남아,2
동북아,2
동해시,2
한반도,2
중소기업,2
남미,2
유사,2
브라질,2
패션,2
관심,2
영화관,2
개선,2
초점,2
가요,2
감수,2
리기,2
