word,count
코로나,2325
진자,418
확진,221
신규,191
사망자,150
극복,144
사망,136
치료,122
명대,115
한국,110
추가,101
일본,94
환자,92
지원,87
속보,83
미국,81
발생,81
대구,78
대응,75
중국,74
감염,69
국내,69
누적,68
확산,61
격리,59
사태,54
추월,52
방역,51
세계,51
종합,50
경제,49
실업,49
백신,48
논산,48
재개,46
증가,46
논산훈련소,46
육군훈련소,45
여성,44
현황,44
신천지,42
긴급,41
여파,41
지역,41
트럼프,40
완치,40
조치,39
천명,38
렘데,37
시비르,37
개발,37
정부,36
명일,36
서울,35
영화,34
전세계,34
모두,33
검사,33
자가,32
유럽,32
하루,32
피해,32
실제,32
쿨러닝,32
기대,31
관련,30
사회,30
위기,29
뉴욕증시,29
위해,29
이후,28
증시,28
해외,28
일만,28
재양,27
취소,27
차관,27
성금,26
급여,26
거리,25
우려,25
감소,25
경북,24
헌터,24
완화,24
도쿄올림픽,24
생활,23
통계,23
분기,23
응원,23
퇴원,23
두기,22
영국,22
아프리카,22
포토,22
상승,22
회의,22
기탁,22
귀가,22
정상화,21
사례,21
우한,21
효과,21
아베,20
오늘,20
글로벌,20
판정,20
대감,20
전문가,20
추진,20
프랑스,20
마감,20
고용,20
급등,20
센터,20
대책,20
돌파,20
모델,20
관리,19
병원,19
뉴욕,19
온라인,19
성장,19
충격,19
부족,19
전달,19
해제,18
의료,18
유입,18
폼페이,18
철원,18
급증,17
일부,17
질환,17
동참,17
비상,17
가족,17
보건,17
신도,17
도입,17
집단,17
동선,17
아산병원,17
기재,17
회복,16
봉쇄,16
예정,16
최대,16
브리핑,16
국제,16
건강,15
확대,15
장기,15
전국,15
무단이탈,15
강화,15
달러,15
취약,15
마스크,15
발표,15
논란,15
접촉,15
진행,15
추적,14
활동,14
노먼,14
러시아,14
영향,14
현실,14
다우,14
이탈리아,14
스페인,14
진단,14
공인,14
공개,14
확인,14
개최,14
총리,14
커버,14
신천지교,14
리그,13
캠페인,13
통합,13
농가,13
가능성,13
부분,13
연기,13
필요,13
현장,13
소상,13
방문,13
육박,13
리즈,13
임금,13
그래픽,13
부산,13
입소,13
주인공,13
싱가포르,13
화웨이,13
연장,12
바이러스,12
전망,12
삭감,12
뉴스,12
총선,12
기준,12
이상,12
인천,12
방지,12
기업,12
예방,12
쇼크,12
업계,12
입국,12
누락,12
중단,12
주민,12
장관,12
어제,12
시설,11
하락,11
