word,count
코로나,4027
진자,993
확진,433
대구,358
발생,344
추가,327
속보,306
확산,251
감염,247
환자,231
국내,206
사망자,185
사망,184
극복,167
격리,147
경북,146
방역,132
신천지,127
대응,120
기부,116
마스크,112
종합,109
증가,102
음성,101
여파,98
지원,98
부산,93
지역,92
집단,92
판정,92
아파트,90
검사,86
이재명,83
위해,79
경기,79
한국,78
사태,78
지사,76
중국,75
공무원,75
우려,74
코호트,74
방지,73
정부,73
병원,73
천명,66
세종,66
하루,64
치료,63
미국,63
돌파,62
직원,60
긴급,59
현황,58
이상,58
크루즈선,58
천안,57
복지부,57
의료,55
성금,54
예방,53
당국,53
임신부,53
입국,52
신규,52
승무원,52
보건복지부,52
일본,51
관련,51
피해,50
센터,50
접촉,50
생활,49
서울,48
여성,48
완치,48
가능성,47
세계,46
트럼프,46
거주,46
공개,45
보건,45
시민,44
분당,44
가족,44
중증,44
동참,43
제생병원,43
이탈리아,42
위중,42
활동,41
포토,41
누적,41
비상,40
경남,39
양성,39
청사,39
연기,38
자제,38
경산,38
대책,37
제한,37
일만,37
차단,36
명명,36
공포,35
동선,35
현장,35
방문,34
취소,34
용인시,34
오늘,34
집회,33
촉구,33
주민,33
신종,33
사회,33
영천,33
발병,32
실버,32
전국,32
광주,32
전달,31
이후,31
실시,31
임산부,31
퇴원,31
주말,30
자가,30
위기,30
시설,30
그래픽,30
타운,30
종교,29
기탁,29
유럽,29
용인,29
경기도,29
질환,29
무더기,29
인천,28
국민,28
우한,28
조치,28
해제,28
서명,27
확인,27
경제,27
예산,27
공동,27
상황,27
급증,27
교회,27
부부,27
괴산,27
임대료,26
브리핑,26
하락,26
총력,26
외부,26
재개,26
크루즈,26
줌바,26
충북,26
안산,26
어제,26
제주,26
뉴욕증시,25
전세계,25
만원,25
진료,25
울산,25
관리,25
남성,25
사례,24
결의,24
수출,24
충남,24
단양,24
탑승,24
확보,24
태아,24
급락,23
근무,23
한일,23
영향,23
운영,23
금지,23
성장,23
건강,23
기준,23
성률,23
취약,22
회의,22
바이러스,22
기업,22
양천구,22
협력,22
대비,22
현재,22
해외,22
한국인,22
적극,22
포항,22
조원,21
건설,21
화합,21
입원,21
조사,21
대한항공,21
유재석,21
중단,20
점검,20
진단,20
우리,20
모두,20
국제,20
항공,20
악몽,20
남편,20
교인,20
고용,19
물품,19
글로벌,19
여명,19
증시,19
치사,19
댄스,19
안심,19
한마음,19
안산시,19
대구시,19
서도,18
그룹,18
뉴욕,18
베트남,18
확대,18
결과,18
신도,18
시장,18
나눔,18
명종,18
때문,17
유입,17
개최,17
이동,17
이지연,17
인종차별,17
불안,17
리그,17
예배,17
노선,17
일반,17
기관,16
강화,16
원주,16
요청,16
마감,16
다우,16
금리,16
성남,16
증상,16
격려,16
귀국,16
콘서트,16
구석,16
마련,15
쇼크,15
특별,15
이슈,15
응원,15
운동,15
세종시,15
정책,15
의심,15
프랑스,15
드라이브,15
추경안,15
안전,15
노홍철,15
강사,15
전파,15
처음,15
전역,15
대본,15
제주도,15
황교안,15
도착,15
희망,14
조기,14
부산시,14
코로나바이러스,14
이송,14
금융,14
행렬,14
개발,14
여행,14
정보,14
시작,14
업무,14
명확,14
스루,14
전문,14
시행,14
항공사,14
수강생,14
이승기,14
아래,14
입소,14
경산시,14
업계,13
계층,13
민관,13
이유,13
최대,13
페루,13
명대,13
검토,13
일부,13
국회,13
통과,13
달러,13
진행,13
상보,13
공인,13
올해,13
성남시,13
주로,13
서비스,13
대기,13
병상,13
전망,13
항의,13
온라인,13
예정,13
기내,13
폐쇄,13
오가리,13
동맹,13
직장,13
소속,13
위험,12
호조,12
추진,12
시간,12
억원,12
의원,12
판매,12
김어준,12
강원,12
중소기업,12
천만원,12
일일,12
소상,12
강북구,12
영상,12
청주,12
본부,12
오후,12
매니저,12
교육청,12
전북,12
플로리다,12
거창,12
인하,11
대처,11
유학생,11
헌혈,11
공사,11
기흥구,11
연장,11
스페인,11
온정,11
바티칸,11
최소,11
중앙,11
근로자,11
집중,11
무관,11
수익금,11
마을,11
설치,11
천안시,11
약국,11
공식,11
총리,11
오전,11
캠페인,11
천식,11
급감,11
